Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2025-06-30T18:45:08Z,38.928459,-77.050972,57,0.95,0.78,1.22,3,12,90
2025-06-30T20:46:50Z,38.928394,-77.050919,71,0.98,0.84,1.29,3,10,90
2025-06-30T22:48:32Z,38.928471,-77.050842,69,1.00,0.81,1.28,3,9,90
2025-07-01T00:50:14Z,38.928440,-77.050873,52,0.93,0.79,1.22,3,10,90
2025-07-01T02:51:57Z,38.928360,-77.050995,38,1.12,0.91,1.45,3,8,91
2025-07-01T04:53:39Z,38.928417,-77.050827,95,0.92,0.89,1.28,3,11,90
2025-07-01T06:55:21Z,38.928501,-77.050880,44,0.86,0.85,1.21,3,10,90
2025-07-01T08:57:03Z,38.928375,-77.050964,43,1.06,0.93,1.41,3,10,90
2025-07-01T10:58:45Z,38.928364,-77.050903,102,1.42,0.91,1.69,3,9,90
2025-07-01T13:00:26Z,38.928551,-77.050728,28,0.99,0.86,1.31,3,10,90
2025-07-01T15:02:08Z,38.928322,-77.050919,61,1.06,0.89,1.38,3,9,90
2025-07-01T17:03:50Z,38.928375,-77.050758,99,1.14,0.95,1.49,3,9,90
2025-07-01T19:05:32Z,38.928402,-77.050972,56,0.95,0.84,1.27,3,9,90
2025-07-01T21:07:14Z,38.928398,-77.051033,97,1.24,0.95,1.56,3,7,90
2025-07-01T23:08:56Z,38.928391,-77.051003,37,1.07,0.91,1.41,3,9,90
2025-07-02T01:10:38Z,38.928452,-77.051033,53,1.33,0.94,1.63,3,8,90
2025-07-02T03:12:20Z,38.928444,-77.050911,49,1.20,0.90,1.50,3,8,90
2025-07-02T05:13:58Z,38.928425,-77.050934,60,0.94,0.82,1.25,3,10,90
2025-07-02T07:15:40Z,38.928192,-77.051247,94,1.20,0.86,1.48,3,8,90
2025-07-02T09:17:22Z,38.928432,-77.050972,89,1.30,0.93,1.60,3,8,90
2025-07-02T11:19:04Z,38.928501,-77.050926,90,1.12,0.85,1.34,3,9,90
2025-07-02T13:20:46Z,38.928421,-77.050903,36,0.89,0.79,1.19,3,10,90
2025-07-02T15:22:28Z,38.928322,-77.050903,70,1.38,0.91,1.66,3,8,90
2025-07-02T17:24:10Z,38.928455,-77.050995,61,1.00,0.82,1.32,3,11,90
2025-07-02T19:25:52Z,38.928368,-77.050896,63,0.90,0.85,1.24,3,11,90
2025-07-02T21:27:34Z,38.928486,-77.050888,38,0.93,0.82,1.24,3,10,90
2025-07-02T23:29:13Z,38.928379,-77.051018,45,0.96,0.81,1.14,3,11,90
2025-07-03T01:30:52Z,38.928410,-77.051018,74,0.88,0.80,1.19,3,12,90
2025-07-03T03:32:33Z,38.928463,-77.050911,60,1.05,0.90,1.39,3,10,90
2025-07-03T05:34:15Z,38.928337,-77.050987,57,1.04,0.90,1.37,3,9,90
2025-07-03T07:34:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,13
